Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A823593,,09/27/2020 10:42:00 AM,09/27/2020 10:42:00 AM,07/27/2020,Euthanasia,Medical,Cat,Intact Female,2 months,Domestic Shorthair,Brown Tabby
A724846,,04/22/2016 01:43:00 PM,04/22/2016 01:43:00 PM,03/22/2016,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Black/Brown
A678719,Minnie,07/07/2020 03:46:00 PM,07/07/2020 03:46:00 PM,05/12/2012,Adoption,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Chocolate/White
A809249,Buddy,12/13/2020 11:07:00 AM,12/13/2020 11:07:00 AM,05/21/2016,Return to Owner,,Dog,Intact Male,4 years,Pit Bull,Chocolate
A826387,*Pokey,12/04/2020 12:59:00 PM,12/04/2020 12:59:00 PM,06/03/2020,Transfer,Partner,Dog,Intact Male,6 months,Labrador Retriever Mix,Black
A739239,*Joy,02/05/2017 04:42:00 PM,02/05/2017 04:42:00 PM,11/29/2013,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A723809,,04/11/2016 05:11:00 PM,04/11/2016 05:11:00 PM,02/07/2016,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Black
A796833,*Johnny,07/31/2019 12:32:00 PM,07/31/2019 12:32:00 PM,05/03/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Cream Tabby
A694716,*Delta,08/19/2018 01:34:00 PM,08/19/2018 01:34:00 PM,01/03/2012,Adoption,,Dog,Spayed Female,6 years,Australian Cattle Dog Mix,White/Black
A696532,Bernard,02/17/2015 11:08:00 AM,02/17/2015 11:08:00 AM,06/06/2014,Adoption,,Dog,Neutered Male,8 months,Shih Tzu,Chocolate/Tan
A802839,,08/24/2019 09:52:00 AM,08/24/2019 09:52:00 AM,08/23/2018,Euthanasia,Rabies Risk,Other,Unknown,1 year,Skunk,Black/White
A721678,Nola,03/11/2016 02:03:00 PM,03/11/2016 02:03:00 PM,11/02/2014,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A806607,,10/29/2019 04:31:00 PM,10/29/2019 04:31:00 PM,04/13/2019,Adoption,,Other,Intact Female,6 months,Guinea Pig,White/Brown
A682054,Tom,06/23/2014 05:26:00 PM,06/23/2014 05:26:00 PM,04/23/2014,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
A746677,Iris,02/11/2018 06:49:00 PM,02/11/2018 06:49:00 PM,04/08/2014,Return to Owner,,Dog,Intact Female,3 years,German Shepherd,Black/Brown
A780569,*Norbert,10/27/2018 03:42:00 PM,10/27/2018 03:42:00 PM,09/17/2016,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull/American Bulldog,White/Tan
A751703,*Wally,06/12/2017 03:49:00 PM,06/12/2017 03:49:00 PM,05/20/2017,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A747294,,05/16/2017 02:07:00 PM,05/16/2017 02:07:00 PM,04/14/2017,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,White/Black
A726054,Wednesday,12/21/2018 07:00:00 PM,12/21/2018 07:00:00 PM,05/05/2014,Return to Owner,,Dog,Spayed Female,4 years,American Staffordshire Terrier Mix,Blue/Tricolor
A777793,Charlie,09/30/2018 03:38:00 PM,09/30/2018 03:38:00 PM,09/03/2017,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Brown
A753682,Gravy,07/10/2017 04:14:00 PM,07/10/2017 04:14:00 PM,07/09/2013,Return to Owner,,Dog,Neutered Male,4 years,German Shepherd Mix,White/Brown
A733768,Bunnie,09/03/2016 03:29:00 PM,09/03/2016 03:29:00 PM,02/26/2016,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black
A763576,Mr. Meowgi,12/16/2017 01:41:00 PM,12/16/2017 01:41:00 PM,12/11/2011,Transfer,Partner,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby
A809837,Shelby,12/21/2019 06:59:00 PM,12/21/2019 06:59:00 PM,12/19/2014,Adoption,,Dog,Spayed Female,5 years,Doberman Pinsch,Black/Tan
A689556,,10/07/2014 09:00:00 AM,10/07/2014 09:00:00 AM,07/06/2014,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A794069,,05/03/2019 05:17:00 PM,05/03/2019 05:17:00 PM,05/02/2019,Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Black
A663019,*Johnny,10/19/2013 05:04:00 PM,10/19/2013 05:04:00 PM,07/30/2013,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Black
A647338,Pinocchio,10/01/2015 12:33:00 PM,10/01/2015 12:33:00 PM,08/08/2012,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,White/Red
A792433,Blaize,10/13/2019 05:18:00 PM,10/13/2019 05:18:00 PM,02/23/2019,Adoption,,Dog,Neutered Male,7 months,Labrador Retriever Mix,Black/White
A760785,,10/26/2017 03:19:00 PM,10/26/2017 03:19:00 PM,10/24/2011,Transfer,Partner,Dog,Intact Female,6 years,Great Pyrenees Mix,Tan/White
A785134,Rocky,11/28/2018 11:30:00 AM,11/28/2018 11:30:00 AM,09/12/2018,Return to Owner,,Dog,Intact Male,2 months,Catahoula Mix,Brown Merle/White
A780513,Ember,09/20/2018 04:16:00 PM,09/20/2018 04:16:00 PM,07/24/2018,Adoption,,Dog,Spayed Female,1 month,German Shepherd Mix,Black/Tan
A792382,Lorenzo,04/27/2019 06:40:00 PM,04/27/2019 06:40:00 PM,04/09/2018,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown
A666723,Krypto,11/17/2013 02:15:00 PM,11/17/2013 02:15:00 PM,11/06/2010,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Poodle Mix,White
A781429,Oso,03/27/2019 12:00:00 AM,03/27/2019 12:00:00 AM,07/29/2018,Transfer,Partner,Dog,Neutered Male,7 months,American Foxhound Mix,Tricolor
A710045,Penny Lane,08/17/2015 04:40:00 PM,08/17/2015 04:40:00 PM,08/16/2005,Return to Owner,,Dog,Intact Female,10 years,German Shepherd Mix,Black/Tan
A760768,,10/24/2017 09:05:00 AM,10/24/2017 09:05:00 AM,10/23/2016,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A737709,Chia,11/19/2016 12:06:00 PM,11/19/2016 12:06:00 PM,08/19/2016,Adoption,,Cat,Spayed Female,3 months,Japanese Bobtail Mix,Tortie
A704989,Katina,06/12/2015 09:00:00 AM,06/12/2015 09:00:00 AM,06/11/2013,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby
A763733,Sage,12/23/2017 02:54:00 PM,12/23/2017 02:54:00 PM,12/15/2015,Adoption,Offsite,Dog,Spayed Female,2 years,Staffordshire Mix,Tan/White
A683016,,07/05/2014 11:20:00 PM,07/05/2014 11:20:00 PM,06/05/2014,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White
A461106,Meeka,04/22/2017 11:51:00 AM,04/22/2017 11:51:00 AM,03/11/2006,Return to Owner,,Dog,Spayed Female,11 years,Siberian Husky,Black/White
A789996,,03/05/2019 01:18:00 PM,03/05/2019 01:18:00 PM,03/02/2017,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A701199,Scooby,04/29/2015 06:07:00 PM,04/29/2015 06:07:00 PM,10/25/2013,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A730837,*Jet,09/03/2016 05:55:00 PM,09/03/2016 05:55:00 PM,06/21/2016,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black
A724169,Princess,05/30/2017 01:08:00 PM,05/30/2017 01:08:00 PM,04/13/2014,Adoption,,Dog,Intact Female,3 years,Pit Bull Mix,Black/White
A795861,,05/29/2019 05:40:00 PM,05/29/2019 05:40:00 PM,03/25/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A761344,,11/08/2017 05:43:00 PM,11/08/2017 05:43:00 PM,11/03/2015,Adoption,,Dog,Neutered Male,2 years,Rat Terrier Mix,Black
A755474,*Chelsea,01/04/2018 06:44:00 AM,01/04/2018 06:44:00 AM,08/03/2016,Adoption,Foster,Dog,Spayed Female,1 year,Labrador Retriever Mix,White/Tan
A685565,,08/13/2014 06:56:00 PM,08/13/2014 06:56:00 PM,06/09/2014,Adoption,,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White
A745794,Blanca,09/09/2017 03:44:00 PM,09/09/2017 03:44:00 PM,03/24/2016,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Cream
A781264,*Lulu,10/31/2018 12:11:00 PM,10/31/2018 12:11:00 PM,08/11/2018,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie
A734959,*Kurt,10/24/2016 05:09:00 PM,10/24/2016 05:09:00 PM,01/15/2016,Adoption,,Dog,Neutered Male,9 months,Labrador Retriever Mix,Black/White
A678116,,05/04/2014 01:47:00 PM,05/04/2014 01:47:00 PM,04/05/2014,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Tortie
A670625,,01/17/2014 06:53:00 PM,01/17/2014 06:53:00 PM,08/11/2013,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,White/Orange
A734609,Smoke,12/10/2016 09:49:00 PM,12/10/2016 09:49:00 PM,08/14/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Longhair Mix,Brown Tabby
A672823,Dale,03/25/2014 10:54:00 AM,03/25/2014 10:54:00 AM,01/11/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
A763262,*Twinkle,12/11/2017 06:18:00 PM,12/11/2017 06:18:00 PM,10/10/2017,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A743568,Gosling,09/06/2017 12:49:00 PM,09/06/2017 12:49:00 PM,02/12/2008,Adoption,Foster,Dog,Neutered Male,9 years,Labrador Retriever Mix,Black/White
A693362,*Ygritte,02/01/2015 05:48:00 PM,02/01/2015 05:48:00 PM,11/08/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A792438,,04/10/2019 03:16:00 PM,04/10/2019 03:16:00 PM,04/03/2019,Transfer,Partner,Dog,Intact Female,1 week,Rottweiler Mix,Black/Tan
A669148,*Luna,12/20/2013 02:14:00 PM,12/20/2013 02:14:00 PM,02/15/2012,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A758014,,09/11/2017 04:42:00 PM,09/11/2017 04:42:00 PM,09/10/2016,Return to Owner,,Cat,Neutered Male,1 year,American Shorthair Mix,Orange Tabby/White
A740880,Bella,12/27/2016 07:18:00 PM,12/27/2016 07:18:00 PM,06/24/2014,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A780379,Buddy,09/16/2018 02:32:00 PM,09/16/2018 02:32:00 PM,09/13/2013,Return to Owner,,Dog,Neutered Male,5 years,Labrador Retriever/Pit Bull,Tan
A689503,Pickle,11/13/2014 01:37:00 PM,11/13/2014 01:37:00 PM,12/30/2013,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Black
A747494,Sophie,04/30/2017 01:57:00 PM,04/30/2017 01:57:00 PM,04/20/2009,Return to Owner,,Dog,Intact Female,8 years,Maltese/Yorkshire Terrier,Black/White
A763909,Sunny,02/27/2018 06:02:00 PM,02/27/2018 06:02:00 PM,05/19/2017,Adoption,,Dog,Neutered Male,9 months,German Shepherd Mix,Tan
A765348,Peluche,01/19/2018 12:00:00 AM,01/19/2018 12:00:00 AM,01/18/2016,Return to Owner,,Dog,Intact Male,2 years,Miniature Poodle Mix,White
A819376,Mouse,07/02/2020 11:41:00 AM,07/02/2020 11:41:00 AM,06/29/2010,Transfer,Partner,Dog,Neutered Male,10 years,Yorkshire Terrier Mix,Brown/Gray
A757839,403,10/09/2017 07:37:00 PM,10/09/2017 07:37:00 PM,07/06/2017,Transfer,Partner,Dog,Unknown,3 months,Labrador Retriever Mix,Black
A756115,,08/17/2017 12:00:00 AM,08/17/2017 12:00:00 AM,06/22/2017,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White
A773696,,06/08/2018 12:45:00 PM,06/08/2018 12:45:00 PM,06/04/2017,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A721399,*Charlie,03/12/2016 05:44:00 PM,03/12/2016 05:44:00 PM,02/26/2010,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Tan
A810379,Umami,12/12/2019 02:49:00 PM,12/12/2019 02:49:00 PM,12/12/2016,Return to Owner,,Cat,Spayed Female,3 years,Domestic Shorthair,Brown Tabby
A682195,,06/25/2014 01:44:00 PM,06/25/2014 01:44:00 PM,06/25/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White
A771718,*Midnight,05/19/2018 02:19:00 PM,05/19/2018 02:19:00 PM,05/09/2016,Adoption,Offsite,Dog,Spayed Female,2 years,Pointer Mix,Black
A686982,*Pumpkin,10/18/2014 06:13:00 PM,10/18/2014 06:13:00 PM,07/29/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A725891,Margie,05/21/2016 07:44:00 PM,05/21/2016 07:44:00 PM,05/03/2005,Adoption,,Dog,Spayed Female,11 years,Miniature Pinscher Mix,Black/Tan
A744363,,02/27/2017 04:38:00 PM,02/27/2017 04:38:00 PM,08/27/2016,Euthanasia,Rabies Risk,Other,Unknown,6 months,Raccoon Mix,Brown
A763650,Princessleia,12/21/2017 05:20:00 PM,12/21/2017 05:20:00 PM,12/12/2015,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Beagle,Brown Brindle/White
A798899,*Blarney,09/08/2019 06:01:00 PM,09/08/2019 06:01:00 PM,05/01/2019,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair,Black
A730576,*Polly,10/01/2016 02:51:00 PM,10/01/2016 02:51:00 PM,07/07/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
A826546,,12/07/2020 06:00:00 PM,12/07/2020 06:00:00 PM,08/01/2020,Adoption,,Dog,Spayed Female,4 months,Black/Tan Hound Mix,Black/Tricolor
A721126,Oso,02/28/2016 11:10:00 AM,02/28/2016 11:10:00 AM,01/21/2016,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever/Rottweiler,Black
A710927,,09/05/2015 05:15:00 PM,09/05/2015 05:15:00 PM,08/30/2014,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Tan/Black
A786478,*Trudy,01/05/2019 04:32:00 PM,01/05/2019 04:32:00 PM,06/26/2018,Adoption,,Dog,Spayed Female,6 months,German Shepherd,Black/Tan
A711259,,10/27/2015 09:54:00 AM,10/27/2015 09:54:00 AM,08/28/2015,Adoption,Foster,Dog,Spayed Female,1 month,Flat Coat Retriever/Papillon,Black
A674860,,03/19/2014 03:41:00 PM,03/19/2014 03:41:00 PM,03/19/2013,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
A702533,*Lily,07/03/2015 04:50:00 PM,07/03/2015 04:50:00 PM,05/15/2013,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Black Brindle/White
A688550,Oscar,10/20/2014 11:38:00 AM,10/20/2014 11:38:00 AM,08/20/2014,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair,Black/White
A772815,*Chiva,06/23/2018 07:44:00 PM,06/23/2018 07:44:00 PM,04/08/2018,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A749194,,05/13/2017 05:48:00 PM,05/13/2017 05:48:00 PM,05/12/2013,Return to Owner,,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Brown/Tan
A699765,,04/02/2015 01:53:00 PM,04/02/2015 01:53:00 PM,04/02/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Gray/Black
A731828,Milo,08/09/2016 05:46:00 PM,08/09/2016 05:46:00 PM,07/27/2015,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Black/Blue Merle
A780536,King,09/26/2018 04:44:00 PM,09/26/2018 04:44:00 PM,09/19/2010,Return to Owner,,Dog,Neutered Male,8 years,Australian Shepherd/Chow Chow,Brown
A690557,*Cocoa,10/25/2014 10:54:00 AM,10/25/2014 10:54:00 AM,09/22/2014,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A769913,Barbara,04/15/2018 06:15:00 PM,04/15/2018 06:15:00 PM,10/12/2016,Return to Owner,,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White
A768156,,03/13/2018 05:14:00 PM,03/13/2018 05:14:00 PM,03/13/2016,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Black/Black
A699543,*Stewie,09/17/2015 12:45:00 PM,09/17/2015 12:45:00 PM,03/01/2015,Transfer,Partner,Dog,Neutered Male,6 months,Labrador Retriever/Pit Bull,White/Black
A666194,Hank,11/04/2013 05:02:00 PM,11/04/2013 05:02:00 PM,10/28/2010,Adoption,,Dog,Neutered Male,3 years,German Shepherd/Labrador Retriever,Brown/Black
A609622,Cory,11/05/2015 12:00:00 AM,11/05/2015 12:00:00 AM,09/11/2007,Transfer,Partner,Dog,Spayed Female,8 years,Chihuahua Shorthair/Wire Hair Fox Terrier,Gold
A725415,,05/01/2016 02:00:00 PM,05/01/2016 02:00:00 PM,04/29/2006,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
A677593,,04/26/2014 05:59:00 PM,04/26/2014 05:59:00 PM,12/26/2013,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black
A588404,Campion,07/28/2016 03:12:00 PM,07/28/2016 03:12:00 PM,12/28/2009,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair,Tan/Tan
A614777,Bb,03/13/2015 07:01:00 PM,03/13/2015 07:01:00 PM,05/27/2011,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Red/White
A724022,Pepe,12/23/2017 06:50:00 PM,12/23/2017 06:50:00 PM,04/10/2011,Return to Owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan/Red
A515503,Lonestar,08/04/2016 09:14:00 AM,08/04/2016 09:14:00 AM,07/10/2006,Return to Owner,,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black
A683050,Henry,07/10/2014 05:54:00 PM,07/10/2014 05:54:00 PM,07/06/2006,Transfer,Partner,Dog,Neutered Male,8 years,Pomeranian Mix,Brown
A756712,,08/28/2017 10:31:00 PM,08/28/2017 10:31:00 PM,04/24/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
A775711,Maya,07/04/2018 12:16:00 PM,07/04/2018 12:16:00 PM,12/20/2017,Return to Owner,,Dog,Intact Female,6 months,Maltese Mix,White
A741582,Scarlet,06/22/2017 01:10:00 PM,06/22/2017 01:10:00 PM,04/04/2016,Return to Owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A677991,*Fred,07/12/2014 06:56:00 PM,07/12/2014 06:56:00 PM,04/02/2014,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black Smoke
A796529,,06/02/2019 05:12:00 PM,06/02/2019 05:12:00 PM,03/02/2019,Transfer,Partner,Dog,Intact Female,3 months,Chihuahua Shorthair Mix,White/Brown
A726872,,05/15/2016 04:17:00 PM,05/15/2016 04:17:00 PM,05/15/2014,Euthanasia,Suffering,Other,Unknown,2 years,Squirrel Mix,Brown
A745188,,03/14/2017 03:11:00 PM,03/14/2017 03:11:00 PM,03/11/2017,Euthanasia,Suffering,Cat,Unknown,3 days,Domestic Shorthair Mix,Orange Tabby
A770049,Jack,04/16/2018 11:46:00 AM,04/16/2018 11:46:00 AM,04/15/2000,Adoption,,Cat,Neutered Male,18 years,Domestic Shorthair Mix,Orange Tabby
A754203,,07/21/2017 02:23:00 PM,07/21/2017 02:23:00 PM,07/17/2016,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A694894,,01/08/2015 12:37:00 PM,01/08/2015 12:37:00 PM,12/22/2014,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown Brindle/White
A793618,Zeke,11/29/2019 06:52:00 PM,11/29/2019 06:52:00 PM,04/27/2017,Adoption,,Dog,Neutered Male,2 years,American Bulldog Mix,Tan/White
A772001,,05/15/2018 09:35:00 AM,05/15/2018 09:35:00 AM,04/19/2018,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Black
A674351,Max,03/16/2014 06:10:00 PM,03/16/2014 06:10:00 PM,10/27/2013,Adoption,,Dog,Neutered Male,4 months,Chihuahua Shorthair/Rat Terrier,Black/White
A688447,,09/28/2014 06:50:00 PM,09/28/2014 06:50:00 PM,01/19/2014,Transfer,Partner,Dog,Intact Male,8 months,Pit Bull Mix,White/Tan
A691671,,11/11/2014 09:00:00 AM,11/11/2014 09:00:00 AM,11/07/2012,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
A698943,Bj,03/23/2015 05:24:00 PM,03/23/2015 05:24:00 PM,03/20/2014,Adoption,,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Red
A704300,Sasha,06/04/2015 07:05:00 PM,06/04/2015 07:05:00 PM,06/03/2007,Adoption,,Dog,Spayed Female,8 years,Siberian Husky Mix,White
A813617,,02/21/2020 06:46:00 PM,02/21/2020 06:46:00 PM,11/16/2019,Adoption,,Dog,Spayed Female,3 months,Dachshund/Cardigan Welsh Corgi,Tan
A747869,Chiwinnie,05/03/2017 06:13:00 PM,05/03/2017 06:13:00 PM,04/26/2015,Rto-Adopt,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
A691632,,11/07/2014 04:58:00 PM,11/07/2014 04:58:00 PM,10/11/2014,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A689821,Cookie,10/20/2014 05:22:00 PM,10/20/2014 05:22:00 PM,12/10/2013,Return to Owner,,Dog,Intact Female,10 months,Pit Bull Mix,Brown/White
A745654,,03/23/2017 08:42:00 AM,03/23/2017 08:42:00 AM,03/14/2017,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Blue Tabby
A816954,,05/03/2020 05:03:00 PM,05/03/2020 05:03:00 PM,04/20/2020,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair,Blue Tabby
A648804,Polly,04/27/2018 02:48:00 PM,04/27/2018 02:48:00 PM,09/05/2011,Transfer,Partner,Dog,Spayed Female,6 years,Labrador Retriever/Parson Russell Terrier,Tricolor
A814283,,02/29/2020 09:29:00 AM,02/29/2020 09:29:00 AM,02/27/2019,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A671704,Chloe,05/29/2015 04:51:00 PM,05/29/2015 04:51:00 PM,01/29/2012,Return to Owner,,Dog,Spayed Female,3 years,Pit Bull/Boxer,Black/White
A615612,Chavito,08/31/2019 07:01:00 PM,08/31/2019 07:01:00 PM,10/18/2011,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tan/White
A807415,,10/26/2019 03:42:00 PM,10/26/2019 03:42:00 PM,10/17/2019,Transfer,Partner,Dog,Unknown,1 weeks,Great Pyrenees,Brown
A810110,,12/08/2019 05:06:00 PM,12/08/2019 05:06:00 PM,09/23/2019,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Tricolor
A534984,Charlie,12/31/2015 01:36:00 PM,12/31/2015 01:36:00 PM,02/02/2009,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,Brown/Tricolor
A754354,Izzy,02/19/2019 01:56:00 PM,02/19/2019 01:56:00 PM,02/09/2013,Adoption,,Dog,Spayed Female,6 years,Australian Cattle Dog/Cardigan Welsh Corgi,Blue Tick/Tricolor
A758724,Bella,12/04/2017 05:33:00 PM,12/04/2017 05:33:00 PM,07/20/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
A698780,Rex,06/25/2015 04:26:00 PM,06/25/2015 04:26:00 PM,08/20/2014,Adoption,,Dog,Neutered Male,10 months,Pit Bull Mix,Black/White
A727219,Bongo,05/20/2016 12:03:00 PM,05/20/2016 12:03:00 PM,11/20/2009,Return to Owner,,Dog,Neutered Male,6 years,Border Collie Mix,Black/White
A665629,Baby Boy,10/28/2013 05:26:00 PM,10/28/2013 05:26:00 PM,10/20/2009,Return to Owner,,Dog,Neutered Male,4 years,Australian Cattle Dog/Chow Chow,Red Merle/White
A785988,*Ellie,12/24/2018 04:29:00 PM,12/24/2018 04:29:00 PM,12/14/2017,Adoption,,Dog,Spayed Female,1 year,German Shepherd,Black/Brown
A816725,,04/26/2020 02:50:00 PM,04/26/2020 02:50:00 PM,04/10/2020,Transfer,Partner,Cat,Intact Male,2 weeks,Siamese,Lilac Point
A668679,*Akon,12/18/2013 02:38:00 PM,12/18/2013 02:38:00 PM,12/07/2011,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A666055,,11/01/2013 01:56:00 PM,11/01/2013 01:56:00 PM,06/26/2013,Adoption,,Dog,Neutered Male,4 months,Chihuahua Shorthair Mix,Black/White
A685786,,08/13/2014 09:00:00 AM,08/13/2014 09:00:00 AM,08/12/2013,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue
A823098,,09/17/2020 04:27:00 PM,09/17/2020 04:27:00 PM,09/16/2018,Transfer,Snr,Cat,Neutered Male,2 years,Domestic Longhair Mix,Black
A759018,Ottis,09/27/2017 05:17:00 PM,09/27/2017 05:17:00 PM,09/25/2011,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Chocolate/White
A759938,,10/31/2017 11:20:00 AM,10/31/2017 11:20:00 AM,06/10/2017,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A797732,Benji,06/17/2019 03:59:00 PM,06/17/2019 03:59:00 PM,02/17/2019,Return to Owner,,Dog,Intact Male,3 months,Maltese Mix,Buff
A814898,,03/12/2020 06:25:00 PM,03/12/2020 06:25:00 PM,08/08/2019,Adoption,,Dog,Spayed Female,7 months,Pit Bull,Tan/White
A770751,Buddy,04/29/2018 09:35:00 AM,04/29/2018 09:35:00 AM,04/24/2017,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black
A711279,,09/04/2015 05:48:00 PM,09/04/2015 05:48:00 PM,08/28/2015,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby/White
A692808,Odie,12/16/2014 11:34:00 AM,12/16/2014 11:34:00 AM,11/28/2012,Return to Owner,,Dog,Neutered Male,2 years,Border Terrier Mix,Tan/White
A679475,*Louie,07/02/2014 05:36:00 PM,07/02/2014 05:36:00 PM,05/21/2012,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A730073,Velvet,07/09/2016 01:42:00 PM,07/09/2016 01:42:00 PM,06/28/2014,Transfer,Partner,Dog,Spayed Female,2 years,Dachshund/Chihuahua Shorthair,Black/Gold
